date,HUFL,HULL,MUFL, MULL,LUFL,LULL,OT
01.01.2015,9,8.4,746.7,771.4,85,1,52
02.01.2015,9.4,8.6,746.3,771,89,1,22
03.01.2015,11.9,7.2,739.3,763.7,85,1,52
04.01.2015,10.2,8.8,734.9,759.2,88,2,28
05.01.2015,9.7,8.2,741.4,766,97,1,32
06.01.2015,11,7,745.4,770.3,88,1,36
07.01.2015,12.5,6,747.9,772.6,72,2,32
08.01.2015,8.9,8,749.7,774.6,89,1,27
09.01.2015,10,8,748.6,773.5,93,2,30
10.01.2015,12.2,7.3,747,771.7,73,1,31
11.01.2015,13.8,8.1,747.6,772.3,72,0,48
12.01.2015,14.8,6.6,746.1,770.8,80,2,34
13.01.2015,15.7,5.5,744.8,769.4,70,3,38
14.01.2015,11.4,8.5,745,769.6,83,1,38
15.01.2015,12,8.7,746.4,771,75,1,33
16.01.2015,12.6,9.9,746.6,771.2,78,1,31
17.01.2015,11.3,9.8,746.7,771.2,72,2,22
18.01.2015,13,9,748.4,773,79,1,26
19.01.2015,11.5,9,742.2,766.6,77,0,26
20.01.2015,14.7,8.2,745.8,770.4,79,1,31
21.01.2015,16.9,7.1,742.1,766.5,69,1,47
22.01.2015,17.1,6.6,739,763.2,73,1,30
23.01.2015,16.9,11.1,732.9,756.7,61,2,28
24.01.2015,13.8,11.7,740,764.3,82,1,19
25.01.2015,14.6,11,741.3,765.6,80,1,23
26.01.2015,13.2,11.7,740.3,764.5,86,1,26
27.01.2015,12.5,10.8,737.4,761.7,95,2,21
28.01.2015,10.6,8.4,740.4,765,89,1,30
29.01.2015,7.4,5.1,746.6,771.7,97,1,18
30.01.2015,7,5.2,747.3,772.3,69,2,22
31.01.2015,7.2,5.8,748.2,773.2,64,2,30
01.02.2015,10.4,5.6,746.2,771,69,2,18
02.02.2015,10.7,6.9,747.3,772,66,1,27
03.02.2015,11,7.7,749.3,774.1,72,1,20
04.02.2015,10.2,8,748.9,773.8,78,2,18
05.02.2015,9.8,7,748.1,773,80,1,14
06.02.2015,11.3,3.5,743.4,767.9,61,2,19
07.02.2015,11.7,8.7,748.9,773.7,81,1,15
08.02.2015,8.7,6.5,745.6,770.3,77,2,12
09.02.2015,10.7,8,745.2,769.9,65,1,8
10.02.2015,10.9,8,743.9,768.6,76,1,9
11.02.2015,15.9,5.7,742.2,766.7,72,2,13
12.02.2015,17.8,5.8,738.4,762.7,74,1,13
13.02.2015,15.3,9.5,735.9,760,71,1,11
14.02.2015,18,11.6,734.3,758.2,69,1,10
15.02.2015,19.3,11.8,741.3,765.4,71,1,9
16.02.2015,15.6,12.2,740.7,764.9,86,1,8
17.02.2015,19.8,10.8,736.1,760,73,2,10
18.02.2015,22,13.2,734.9,758.5,69,2,4
19.02.2015,19.9,14.6,733.3,756.9,68,2,6
20.02.2015,17.7,13.8,736.9,760.7,75,2,6
21.02.2015,16.7,13.7,737.9,761.8,69,2,3
22.02.2015,14.4,11.5,739,763.2,78,1,8
23.02.2015,12.5,11.4,739.7,763.9,79,1,8
24.02.2015,15.8,11.4,736.1,760.1,72,1,16
25.02.2015,17.5,12.4,738.2,762.2,74,1,13
26.02.2015,15.3,12.9,733.8,757.6,65,2,14
27.02.2015,15.5,12.1,738.3,762.4,73,2,10
28.02.2015,12.3,7.3,748.6,773.5,85,1,11
01.03.2015,10,7.7,742.9,767.5,80,1,6
02.03.2015,12.2,8.5,739.2,763.5,75,1,13
03.03.2015,14.7,9.8,737.3,761.4,69,2,14
04.03.2015,13.4,10.5,738.7,762.9,51,1,9
05.03.2015,12.4,9,742.5,766.9,64,2,8
06.03.2015,16,8.3,740.9,765.2,62,2,11
07.03.2015,18.6,8.6,737.6,761.5,48,4,10
